X,Y,Z
29, 42, 79
29, 43, 79
30, 44, 80
31, 45, 80
31, 45, 81
32, 46, 81
32, 47, 82
33, 48, 83
33, 48, 83
34, 49, 84
35, 50, 85
35, 51, 86
36, 51, 87
36, 52, 87
37, 53, 88
38, 53, 89
38, 54, 91
39, 54, 92
39, 55, 93
40, 56, 94
41, 56, 95
41, 56, 96
42, 57, 98
42, 57, 99
43, 57, 101
44, 58, 102
44, 58, 103
45, 58, 105
45, 58, 106
46, 58, 108
46, 58, 109
47, 58, 111
47, 58, 112
47, 57, 114
48, 57, 115
48, 57, 117
49, 56, 118
49, 56, 120
49, 55, 121
49, 54, 123
50, 54, 124
50, 53, 125
50, 52, 127
50, 51, 128
50, 50, 129
50, 49, 130
50, 48, 131
50, 46, 132
50, 45, 133
49, 44, 134
49, 43, 135
49, 41, 136
49, 40, 136
48, 39, 137
48, 37, 137
48, 36, 138
47, 35, 138
47, 33, 138
46, 32, 138
46, 31, 138
45, 29, 138
44, 28, 138
44, 27, 138
43, 25, 138
42, 24, 137
42, 23, 137
41, 22, 136
40, 21, 136
39, 20, 135
39, 19, 135
38, 18, 134
37, 17, 133
36, 16, 133
36, 15, 132
35, 14, 131
34, 14, 130
33, 13, 129
32, 12, 128
32, 12, 127
31, 11, 126
30, 11, 125
29, 10, 124
29, 10, 123
28, 10, 122
27, 9, 121
26, 9, 120
26, 9, 119
25, 8, 118
24, 8, 117
24, 8, 116
23, 8, 115
23, 8, 114
22, 8, 113
21, 8, 112
21, 7, 111
20, 7, 110
20, 7, 109
19, 7, 108
19, 7, 107
18, 8, 106
18, 8, 105
18, 8, 104
17, 8, 104
17, 8, 103
17, 8, 102
16, 8, 101
16, 8, 100
16, 8, 99
15, 9, 98
15, 9, 97
15, 9, 96
15, 9, 95
14, 9, 95
14, 10, 94
14, 10, 93
14, 10, 92
14, 10, 91
14, 10, 90
13, 11, 90
13, 11, 89
13, 11, 88
13, 11, 87
13, 12, 87
13, 12, 86
13, 12, 85
13, 13, 84
13, 13, 84
13, 13, 83
13, 14, 82
13, 14, 82
13, 14, 81
13, 15, 80
13, 15, 80
13, 15, 79
13, 16, 78
13, 16, 78
13, 16, 77
14, 17, 77
14, 17, 76
14, 18, 75
14, 18, 75
14, 19, 74
14, 19, 74
14, 19, 73
15, 20, 73
15, 20, 72
15, 21, 72
15, 21, 72
16, 22, 71
16, 23, 71
16, 23, 70
16, 24, 70
17, 24, 70
17, 25, 69
17, 25, 69
18, 26, 69
18, 27, 69
18, 27, 68
19, 28, 68
19, 29, 68
19, 30, 68
20, 30, 68
20, 31, 68
21, 32, 67
21, 33, 67
21, 33, 67
22, 34, 67
22, 35, 67
23, 36, 68
23, 37, 68
24, 38, 68
24, 38, 68
25, 39, 68
26, 40, 69
26, 41, 69
27, 42, 69
27, 43, 70
28, 44, 70
29, 45, 71
29, 46, 71
30, 47, 72
31, 48, 72
31, 49, 73
32, 50, 74
33, 51, 75
33, 52, 76
34, 53, 77
35, 54, 78
36, 55, 79
36, 56, 80
37, 57, 81
38, 58, 82
39, 59, 83
39, 59, 85
40, 60, 86
41, 61, 88
42, 62, 89
43, 62, 91
43, 63, 93
44, 63, 94
45, 64, 96
46, 64, 98
46, 65, 100
47, 65, 102
48, 65, 104
48, 65, 106
49, 65, 108
50, 65, 110
50, 65, 112
51, 65, 114
51, 64, 116
52, 64, 118
52, 63, 120
53, 63, 122
53, 62, 124
54, 61, 126
54, 60, 128
54, 59, 130
54, 57, 132
54, 56, 134
54, 55, 135
54, 53, 137
54, 52, 138
54, 50, 140
54, 48, 141
54, 47, 142
54, 45, 143
53, 43, 144
53, 41, 145
52, 39, 145
52, 37, 146
51, 35, 146
51, 33, 147
50, 32, 147
49, 30, 147
49, 28, 147
48, 26, 147
47, 24, 146
46, 23, 146
45, 21, 145
44, 19, 145
43, 18, 144
42, 16, 143
41, 15, 143
40, 14, 142
39, 12, 141
38, 11, 140
37, 10, 139
36, 9, 138
35, 8, 137
34, 7, 136
33, 6, 134
32, 6, 133
31, 5, 132
30, 4, 131
29, 4, 130
28, 3, 128
27, 3, 127
26, 2, 126
25, 2, 125
24, 1, 123
23, 1, 122
22, 1, 121
21, 1, 120
21, 0, 118
20, 0, 117
19, 0, 116
18, 0, 115
18, 0, 114
17, 0, 112
16, 0, 111
16, 0, 110
15, 0, 109
14, 0, 108
14, 0, 107
13, 0, 106
13, 0, 105
12, 0, 103
12, 0, 102
11, 1, 101
11, 1, 100
11, 1, 99
10, 1, 98
10, 1, 97
10, 1, 96
9, 1, 95
9, 1, 94
9, 2, 93
8, 2, 92
8, 2, 91
8, 2, 90
8, 2, 89
7, 2, 89
7, 3, 88
7, 3, 87
7, 3, 86
7, 3, 85
7, 3, 84
6, 3, 83
6, 4, 82
6, 4, 82
6, 4, 81
6, 4, 80
6, 4, 79
6, 5, 78
6, 5, 78
6, 5, 77
6, 5, 76
6, 5, 75
6, 5, 74
6, 6, 74
6, 6, 73
6, 6, 72
6, 6, 72
6, 7, 71
6, 7, 70
6, 7, 69
6, 7, 69
6, 7, 68
6, 8, 67
6, 8, 67
6, 8, 66
6, 8, 65
6, 9, 65
6, 9, 64
6, 9, 64
7, 10, 63
7, 10, 62
7, 10, 62
7, 10, 61
7, 11, 61
7, 11, 60
7, 11, 60
8, 12, 59
8, 12, 59
8, 13, 58
8, 13, 58
8, 13, 57
8, 14, 57
9, 14, 56
9, 15, 56
9, 15, 55
9, 16, 55
10, 16, 54
10, 16, 54
10, 17, 54
10, 18, 53
11, 18, 53
11, 19, 52
11, 19, 52
12, 20, 52
12, 20, 51
12, 21, 51
13, 22, 51
13, 22, 51
13, 23, 50
14, 24, 50
14, 25, 50
14, 25, 50
15, 26, 50
15, 27, 50
16, 28, 49
16, 29, 49
17, 30, 49
17, 31, 49
18, 32, 49
18, 33, 49
19, 34, 50
19, 35, 50
20, 36, 50
21, 37, 50
21, 38, 50
22, 39, 51
23, 40, 51
23, 41, 51
24, 43, 52
25, 44, 52
25, 45, 53
26, 47, 53
27, 48, 54
28, 49, 55
29, 51, 56
30, 52, 56
30, 53, 57
31, 55, 58
32, 56, 59
33, 58, 61
34, 59, 62
35, 61, 63
36, 62, 65
37, 63, 66
38, 65, 68
39, 66, 70
40, 68, 72
41, 69, 74
42, 70, 76
43, 71, 78
45, 73, 80
46, 74, 82
47, 75, 85
48, 76, 87
49, 76, 90
50, 77, 93
51, 78, 96
52, 78, 99
53, 79, 102
54, 79, 105
55, 79, 108
56, 79, 111
57, 78, 114
58, 78, 118
59, 77, 121
59, 77, 124
60, 76, 127
61, 74, 130
61, 73, 134
62, 71, 137
62, 69, 139
62, 67, 142
62, 65, 145
63, 63, 147
63, 61, 150
62, 58, 152
62, 55, 154
62, 52, 156
62, 49, 157
61, 47, 159
61, 43, 160
60, 40, 161
59, 37, 162
58, 34, 162
57, 31, 163
56, 28, 163
55, 25, 162
54, 22, 162
53, 20, 162
52, 17, 161
50, 14, 160
49, 12, 159
47, 9, 158
46, 7, 157
44, 5, 156
43, 3, 154
41, 1, 153
40, 0, 151
38, -2, 150
37, -3, 148
35, -5, 147
33, -6, 145
32, -7, 143
30, -8, 142
29, -9, 140
27, -10, 138
26, -10, 136
25, -11, 135
23, -11, 133
22, -12, 131
21, -12, 130
19, -13, 128
18, -13, 127
17, -13, 125
16, -13, 124
15, -13, 122
13, -14, 121
12, -14, 119
11, -14, 118
10, -14, 116
9, -14, 115
9, -14, 114
8, -14, 112
7, -14, 111
6, -14, 110
5, -13, 109
5, -13, 107
4, -13, 106
3, -13, 105
3, -13, 104
2, -13, 103
1, -13, 102
1, -13, 101
0, -13, 100
0, -13, 98
-1, -13, 97
-1, -13, 96
-2, -13, 95
-2, -13, 94
-3, -13, 93
-3, -13, 92
-3, -13, 92
-4, -13, 91
-4, -13, 90
-4, -13, 89
-5, -13, 88
-5, -13, 87
-5, -13, 86
-6, -13, 85
-6, -13, 85
-6, -13, 84
-6, -13, 83
-7, -13, 82
-7, -13, 81
-7, -14, 81
-7, -14, 80
-8, -14, 79
-8, -14, 78
-8, -14, 78
-8, -14, 77
-9, -15, 76
-9, -15, 75
-9, -15, 75
-9, -15, 74
-10, -16, 74
-10, -16, 73
-10, -16, 72
-10, -17, 72
-11, -17, 71
-11, -17, 70
-11, -18, 70
-11, -18, 69
-12, -18, 69
-12, -19, 68
-12, -19, 68
-12, -19, 67
-13, -20, 67
-13, -20, 66
-13, -21, 66
-14, -21, 65
-14, -22, 65
-14, -22, 65
-14, -23, 64
-15, -23, 64
-15, -24, 63
